"plant_species_code","plant_species","meanL","meanD1","meanHeight","CropMass"
"P01","Bejaria_aestuans",6.3,7.2,3.1,49
"P02","Cavendishia_bracteata",6.4,8.5,4.1,77.9
"P03","Cestrum_parqui",6.6,5.9,3.9,470.8
"P04","Clusia_alata",30.3,38.4,8.4,2986.2
"P05","Clusia_elliptica",21.6,25.9,13.2,2274
"P06","Dendrophthora_chrysostachya",4.2,4.5,6,2.1
"P07","Dendrophthora_densifolia",3.7,3.7,1.5,6.6
"P08","Dendrophthora_paucifolia",3.8,3,2,4.3
"P09","Dendrophthora_rotundata",3.9,4.1,2.8,1.9
"P10","Diogenesia_vargasiana",4.1,4.2,5.7,140.7
"P11","Disterigma_alaternoides",6,5.4,3.3,24.5
"P12","Disterigma_ovatum",6,5.4,3.3,24.5
"P13","Freziera_karsteniana",5.5,3.8,10.5,112.9
"P14","Freziera_reticulata",11.9,10.4,11.1,785.3
"P15","Freziera_uncinata",8,6.4,9.1,346.6
"P16","Gaultheria_bracteata",4.6,6.1,2.3,41.3
"P17","Gaultheria_buxifolia",5.3,6.6,1.8,31.3
"P18","Gaultheria_reticulata",4.2,5.3,2.8,86.3
"P19","Hedyosmum_angustifolium",7.9,7.2,4.9,269.8
"P20","Hedyosmum_cuatrecazanum",15.1,12.2,7.2,331.8
"P21","Hesperomeles_ferruginea",7.9,11.1,3.5,468.5
"P22","Licaria_sp",13.5,11.4,12.7,28.9
"P23","Ligaria_cuneifolia",19.1,11.8,6,278.4
"P24","Miconia_aprica",3.1,3.2,7,333.7
"P25","Miconia_denticulata",4.3,4.3,3.8,31.4
"P26","Miconia_media",4.5,4.7,6.5,48.6
"P27","Miconia_micropetala",3.3,3.8,6.3,89.5
"P28","Miconia_rubens",3.9,4,3.8,16
"P29","Miconia_sp2",3.8,5.2,7,19
"P30","Monnina_marginata",6,4.2,4.8,17.4
"P31","Morella_pubescens",4.3,3.8,6.8,168.7
"P32","Muehlenbeckia_tamnifolia",2.8,2.5,4.8,39.1
"P33","Myrsine_coriacea",3.1,2.9,2.5,21.7
"P34","Myrteola_phylicoides",4.9,5.2,2.6,23.9
"P35","Orthaea_boliviensis",4.5,5.6,7.7,32.6
"P36","Palicourea_stipularis",4.9,3.9,6.9,7.9
"P37","Pernettya_prostrata",8.4,9.1,2,70
"P38","Podocarpus_oleifolius",10.1,4.5,10.4,135.4
"P39","Prunus_integrifolia",9.2,7.4,10.9,416.8
"P40","Ruagea_subviridiflora",33.7,33.4,9,1000.7
"P41","Schefflera_penelope",4.3,5.6,9.3,1825.3
"P42","Schefflera_sp2",5.8,4.8,8,423.2
"P43","Smilax_domingensis",10.7,11.6,7.6,92.5
"P44","Solanum_sp3",17.7,19,12.7,3664.8
"P45","Styrax_foveolaria",8.8,6.5,9.4,264
"P46","Thibaudia_crenulata",7.1,7.8,3.1,153.9
"P47","Thibaudia_sp",7.1,9.3,1.5,25.7
"P48","Tibouchina_calycina",6.7,6.6,2.8,3.6
"P49","Tripodanthus_acutifolius",8.1,4.9,8,276.3
"P50","Viburnum_reticulatum",8.4,6.6,7.7,21.7
"P51","Viburnum_seemenii",9.6,6.2,5.4,379.5
