"","B01","B04","B05","B06","B07","B08","B09","B10","B11","B12","B14","B15","B17","B18","B19","B20","B21","B22","B23","B24","B26","B28","B29","B30","B31","B32","B33","B34","B35","B38","B39","B40","B41","B42","B43","B44","B45","B46","B47","B48","B49","B50","B51","B52","B53","B54","B55","B56","B57","B58","B59","B60","B61"
"P01",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P05",0,5,0,0,6,2,2,5,0,1,0,0,0,0,0,0,1,3,0,6,2,0,0,0,0,25,0,0,0,27,1,39,4,1,15,7,3,15,1,3,0,0,0,0,0,0,5,1,0,0,0,0,0
"P06",2,0,0,0,13,8,2,3,7,0,0,2,0,0,0,0,0,5,1,12,0,0,0,0,0,30,0,3,1,1,1,16,3,0,17,22,0,12,5,1,2,0,0,6,0,0,2,4,0,0,0,0,0
"P07",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"P11",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P12",0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,7,0,0,0,16,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,3,0,0
"P13",0,0,0,0,6,30,2,9,5,0,0,0,0,2,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,1,10,0,1,0,0,0,0,0,0,0
"P14",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,51,0,0,0,0,0,0,0,0,1,0,0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"P15",0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,20,1,0,13,0,0,0,0,0,0,0,0,0
"P16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18",0,2,0,0,2,0,5,3,0,0,0,1,0,5,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,5,0,3,2,0,10,2,0,2,5,1,1,1,0,2,0,0,0,0,0,0,0,0,0
"P19",0,14,0,0,1,0,12,6,8,0,0,0,1,0,0,0,6,5,0,0,5,1,0,11,5,0,2,1,0,0,0,20,8,0,10,11,2,2,0,1,1,0,0,1,1,2,18,6,0,0,10,6,0
"P21",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,3,0,0,0,0,4,0,0,2,0,0,4,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0
"P22",0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P23",4,0,0,4,160,70,99,54,54,16,19,1,0,333,5,4,0,34,61,185,36,1,7,17,35,0,4,0,0,29,43,184,0,25,175,175,0,536,68,336,239,9,4,181,1,4,9,0,7,0,1,0,4
"P24",2,0,0,1,10,0,12,5,11,0,0,0,0,31,0,0,0,3,0,9,2,0,0,0,0,0,0,0,0,2,0,7,0,1,6,8,0,15,3,10,33,1,0,0,0,0,0,0,1,0,0,0,0
"P25",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"P26",0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0
"P27",0,0,0,0,5,0,0,0,3,0,0,0,0,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,13,0,25,0,8,9,0,0,3,1,0,0,0,0,0,0,0,0
"P28",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P29",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P30",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"P32",0,5,0,0,5,0,10,1,0,0,0,0,1,62,0,1,0,5,0,0,1,0,1,2,0,0,0,0,0,0,0,24,1,1,13,6,0,32,2,1,7,0,1,1,0,1,5,2,2,0,0,3,1
"P34",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0
"P35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"P40",0,0,0,0,2,0,6,0,0,0,0,0,0,0,1,1,0,0,3,3,0,1,18,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2
"P41",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P43",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P47",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P48",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0
"P49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P50",0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"P51",0,1,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"P52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
